0.000000,0.000000
0.031250,0.000000
0.062500,0.000000
0.093750,0.000000
0.125000,0.000000
0.156250,0.000000
0.187500,0.000000
0.218750,0.000000
0.250000,0.000001
0.281250,0.000003
0.312500,0.000009
0.343750,0.000023
0.375000,0.000055
0.406250,0.000122
0.437500,0.000257
0.468750,0.000512
0.500000,0.000977
0.531250,0.001791
0.562500,0.003171
0.593750,0.005445
0.625000,0.009095
0.656250,0.014815
0.687500,0.023590
0.718750,0.036794
0.750000,0.056314
0.781250,0.084703
0.812500,0.125382
0.843750,0.182868
0.875000,0.263076
0.906250,0.373663
0.937500,0.524460
0.968750,0.727976
1.000000,1.000000
